,id,Age,Annual Income,Number of Dependents,Health Score,Previous Claims,Vehicle Age,Credit Score,Insurance Duration,Premium Amount,Policy_Start_Year,Policy_Start_Month,Policy_Start_DayOfWeek,Policy_Age_Days,Age_missing_flag,Annual Income_missing_flag,Marital Status_missing_flag,Number of Dependents_missing_flag,Occupation_missing_flag,Health Score_missing_flag,Previous Claims_missing_flag,Vehicle Age_missing_flag,Credit Score_missing_flag,Insurance Duration_missing_flag,Customer Feedback_missing_flag
Policy_Start_Year,-0.00091197053364594,-0.0031765179552880113,-0.009950846061644971,0.00037020573029198733,-0.0016097351441970841,0.0063391018959685005,0.0016885027297751513,-0.007301898077767637,-0.0011690875517767181,-0.011083600176738428,1.0,-0.2613118933417457,-0.005347886370697043,-0.9809811562213799,-0.0006899263871825677,-0.0005336794237733855,0.0009382429710673777,-0.0026078390954234363,0.001022890091344225,0.005084683559859726,-0.0012572284849136912,0.00032187070485382557,-0.0006476073121186034,0.00023448176858383376,0.002559464094317509
Policy_Start_Month,0.0006213108631849871,0.0012045391386071244,0.009027795403221277,-0.00046120813959932435,0.0005399785191253704,-0.0021793587613817395,-0.000427858781327673,0.0037482930076137926,0.0019497918678425354,0.006702101949058226,-0.2613118933417457,1.0,0.002249713918867472,0.06969409028737593,-0.0006984817105603299,0.0003706903830055141,-0.0017655268441440647,0.001671237176811367,-0.0019010869654277106,-0.0038029753649071116,-0.0011646714317440742,-0.0005380641244584148,-0.0011330702195572239,-0.0006628880658127436,-0.0011470642220883303
Policy_Start_DayOfWeek,0.000823870849851531,-0.0012301376985515676,0.00013258173446351913,-0.0009738093601891831,-2.91744396620469e-06,0.0007257984836974902,-0.0006781953163233801,-0.0005874319728941745,0.0008408413512189946,-2.32957107814773e-05,-0.005347886370697043,0.002249713918867472,1.0,0.005044153957204276,0.00014400416076214303,-0.0002498712685058115,-0.0021136381457354213,-3.0127092322660453e-05,-0.0010777898183708277,-0.0005152171671184735,3.0839088407681885e-05,-0.0012963277356294516,0.001189997559812589,-0.0004532367341055209,-0.000298984062939213
Policy_Age_Days,0.0008290124375894326,0.003051879772341377,0.008472833923562776,-0.0002977747740217824,0.0015699359394820605,-0.00613162527922729,-0.0016578671720498565,0.006817060236304175,0.000856544619236374,0.010111467198306918,-0.9809811562213799,0.06969409028737593,0.005044153957204276,1.0,0.0008461610164731899,0.0004812153828838027,-0.0006085101059097683,0.0023709375966455334,-0.0006773801187900883,-0.004402094997954073,0.0015082538631582825,-0.00022911001132405135,0.0008756338487590187,-9.178290152160284e-05,-0.0023962114112110835
Age_missing_flag,8.317577904216611e-06,,0.001304775773933989,-0.001973899625384623,0.002001105455352766,0.001420200013172721,-0.0001103729688636982,-0.00340915272456634,-0.0011170748945500244,-0.0009515624310050995,-0.0006899263871825677,-0.0006984817105603299,0.00014400416076214303,0.0008461610164731899,1.0,0.001394407467473668,0.00050083088993249,0.0007584303587218195,0.0024628032026410844,-0.0013601878398511358,0.0010492196698004437,-0.00028137516410311147,-4.9716042546036215e-06,-0.00011487069040919759,0.002811440975955805
Annual Income_missing_flag,-0.00010525527789941462,-0.0013585352098924469,,0.0010698669397470949,0.013510802598257115,0.01878175936479117,-0.0009804234767683895,-0.10343945067341778,-0.00021980479087735412,-0.039304366199417594,-0.0005336794237733855,0.0003706903830055141,-0.0002498712685058115,0.0004812153828838027,0.001394407467473668,1.0,0.00932398355336367,-0.0015235729933744029,-0.0015595607465260957,-0.007051857192992682,-0.006173105194638264,0.001521598467285806,-0.02468504485139038,-0.00018008145660196336,0.018033258555967102
Marital Status_missing_flag,-0.0011175693818628743,-0.000471571573066788,0.029079348832798207,8.723217301897926e-05,0.0033690865179559085,0.009135184408795351,0.001005737724760341,0.005437385639726715,-0.0007778624311815504,0.01669656978530887,0.0009382429710673777,-0.0017655268441440647,-0.0021136381457354213,-0.0006085101059097683,0.00050083088993249,0.00932398355336367,1.0,0.0041882526749734686,-0.00038370628493607386,-0.006678108206581491,-0.004615160639195511,-0.0002800274112579773,0.0031151755886352083,-0.0001143204737605041,0.0073642729520877635
Number of Dependents_missing_flag,-1.6309989523101485e-05,-0.0004618896890534388,0.0074640276278842245,,-0.00037006640142972307,0.004506480383802519,0.0018149377100622494,-0.008200236254433493,-0.0003456989102957521,0.00876178874843584,-0.0026078390954234363,0.001671237176811367,-3.0127092322660453e-05,0.0023709375966455334,0.0007584303587218195,-0.0015235729933744029,0.0041882526749734686,1.0,-0.001552670759594972,-0.006020669219946201,-0.004616182200377873,-0.0007091782164610217,-0.00042162498818811483,-0.0002895201913349818,0.004737061684816146
Occupation_missing_flag,0.00015493362112226612,-0.0013535737190889631,-0.0045169519587983115,0.0017244980319807133,-0.0011023367774138483,-0.004797718201081831,-0.0016784932251972715,0.0074760455404799765,-3.21761962175739e-05,-0.0069542019425919855,0.001022890091344225,-0.0019010869654277106,-0.0010777898183708277,-0.0006773801187900883,0.0024628032026410844,-0.0015595607465260957,-0.00038370628493607386,-0.001552670759594972,1.0,-0.003851733355241705,0.000967725011356749,-0.0006437623524055894,-0.0019041518676734552,-0.0005953328612319424,-0.0004907487536918611
Health Score_missing_flag,0.0013909196736313374,0.0014876473121603739,-0.0024418506521589707,-0.003940402784999351,,-0.009123384653546205,0.0032592680866382604,0.05539900460102154,0.0016448711039887109,0.016456934583796188,0.005084683559859726,-0.0038029753649071116,-0.0005152171671184735,-0.004402094997954073,-0.0013601878398511358,-0.007051857192992682,-0.006678108206581491,-0.006020669219946201,-0.003851733355241705,1.0,0.004538100081254218,-0.0005735487150469065,0.010136374128470153,-0.00023414979460164822,0.0011518989360778142
Previous Claims_missing_flag,6.373199292666257e-05,0.0012547087935907953,-0.014145176580580657,-0.003640597339280303,-0.0024042446009872607,,0.0026715138251390737,-0.011640703789285396,0.002069430851865345,-0.01952993904483721,-0.0012572284849136912,-0.0011646714317440742,3.0839088407681885e-05,0.0015082538631582825,0.0010492196698004437,-0.006173105194638264,-0.004615160639195511,-0.004616182200377873,0.000967725011356749,0.004538100081254218,1.0,-0.0006648797834355226,-0.004073026148777715,-0.00060239581117728,-0.005546387784852529
Vehicle Age_missing_flag,-0.001418805370350292,0.0004751175986128173,-0.0011476639886985299,0.0005352597533790389,-0.0018112619232898948,0.0014863069354765538,,-0.0012797806598683615,-0.0010212628169417378,0.0002463265805110684,0.00032187070485382557,-0.0005380641244584148,-0.0012963277356294516,-0.00022911001132405135,-0.00028137516410311147,0.001521598467285806,-0.0002800274112579773,-0.0007091782164610217,-0.0006437623524055894,-0.0005735487150469065,-0.0006648797834355226,1.0,-0.0008056631324202118,-2.0412474059619808e-06,-0.0005888604333995638
Credit Score_missing_flag,-0.001315191927021204,0.0009963778119780847,-0.050481108197123044,-0.0017081776567186562,0.0021465958749155634,0.00855859947471773,-0.001501683206950596,,-0.003819567908074647,-0.00705155024841869,-0.0006476073121186034,-0.0011330702195572239,0.001189997559812589,0.0008756338487590187,-4.9716042546036215e-06,-0.02468504485139038,0.0031151755886352083,-0.00042162498818811483,-0.0019041518676734552,0.010136374128470153,-0.004073026148777715,-0.0008056631324202118,1.0,-0.00032890991126859753,0.006333591870431876
Insurance Duration_missing_flag,0.0002934555362898174,0.0015530114424696156,-7.342101281416676e-05,0.0006689793788583116,0.0018485656587979005,-0.001115805001119095,0.0013323022555113211,-7.714535197028745e-05,,-6.178494890375894e-05,0.00023448176858383376,-0.0006628880658127436,-0.0004532367341055209,-9.178290152160284e-05,-0.00011487069040919759,-0.00018008145660196336,-0.0001143204737605041,-0.0002895201913349818,-0.0005953328612319424,-0.00023414979460164822,-0.00060239581117728,-2.0412474059619808e-06,-0.00032890991126859753,1.0,-0.00024040076442026254
Customer Feedback_missing_flag,0.0001646686025992701,0.0004994942187628344,0.051599247022310585,0.0010395757376033014,0.0012965186312631164,0.011997436376728005,-0.0030879276262410424,0.01995329675615803,-0.0007511504147706327,0.02650958578285307,0.002559464094317509,-0.0011470642220883303,-0.000298984062939213,-0.0023962114112110835,0.002811440975955805,0.018033258555967102,0.0073642729520877635,0.004737061684816146,-0.0004907487536918611,0.0011518989360778142,-0.005546387784852529,-0.0005888604333995638,0.006333591870431876,-0.00024040076442026254,1.0
